filename,forgery_type,forged_region,source,label
forged/text_replacement_image-34-_png_jpg.rf.qEuLXAZZQOXcgio2zGPI_000.jpg,text_replacement,"279,200,239,27",image-34-_png_jpg.rf.qEuLXAZZQOXcgio2zGPI.jpg,forged
forged/text_replacement_14-__page-0001_jpg.rf.3oWmP9FqEpWHYhqe7Y2Q_001.jpg,text_replacement,"257,160,108,25",14-__page-0001_jpg.rf.3oWmP9FqEpWHYhqe7Y2Q.jpg,forged
forged/text_replacement_0_4_page-0001_jpg.rf.LQi8KCb2wxCEUD3C7lSC_002.jpg,text_replacement,"129,133,159,41",0_4_page-0001_jpg.rf.LQi8KCb2wxCEUD3C7lSC.jpg,forged
forged/text_replacement_IMG-20240405-WA0019_jpg.rf.sZGqcZOx4MsIIEcMM5Ut_003.jpg,text_replacement,"276,179,243,31",IMG-20240405-WA0019_jpg.rf.sZGqcZOx4MsIIEcMM5Ut.jpg,forged
forged/text_replacement_3_png.rf.CthnogULRIDHBPRj56NC_004.jpg,text_replacement,"208,122,128,39",3_png.rf.CthnogULRIDHBPRj56NC.png,forged
forged/text_replacement_3-1-_page-0001_jpg.rf.GdHyTVnXJxvZv2dJOYJw_005.jpg,text_replacement,"256,141,101,49",3-1-_page-0001_jpg.rf.GdHyTVnXJxvZv2dJOYJw.jpg,forged
forged/text_replacement_27-1-_page-0001_jpg.rf.mCOgmmGW6H9bF9wdzNwN_006.jpg,text_replacement,"312,126,208,35",27-1-_page-0001_jpg.rf.mCOgmmGW6H9bF9wdzNwN.jpg,forged
forged/text_replacement_17-1-_page-0001_jpg.rf.MBmp4a0U6kjHZWFQ8zaR_007.jpg,text_replacement,"177,125,155,49",17-1-_page-0001_jpg.rf.MBmp4a0U6kjHZWFQ8zaR.jpg,forged
forged/text_replacement_image_png_jpg.rf.fbDsplVsStojIsCi7S54_008.jpg,text_replacement,"192,119,123,37",image_png_jpg.rf.fbDsplVsStojIsCi7S54.jpg,forged
forged/text_replacement_13-2-_page-0001_jpg.rf.dJcAkp37r8OVl6Lsbckm_009.jpg,text_replacement,"130,151,188,44",13-2-_page-0001_jpg.rf.dJcAkp37r8OVl6Lsbckm.jpg,forged
forged/copy_move_image-34-_png_jpg.rf.qEuLXAZZQOXcgio2zGPI_000.jpg,copy_move,"345,54,100,100",image-34-_png_jpg.rf.qEuLXAZZQOXcgio2zGPI.jpg,forged
forged/copy_move_14-__page-0001_jpg.rf.3oWmP9FqEpWHYhqe7Y2Q_001.jpg,copy_move,"445,137,100,100",14-__page-0001_jpg.rf.3oWmP9FqEpWHYhqe7Y2Q.jpg,forged
forged/copy_move_0_4_page-0001_jpg.rf.LQi8KCb2wxCEUD3C7lSC_002.jpg,copy_move,"403,90,100,100",0_4_page-0001_jpg.rf.LQi8KCb2wxCEUD3C7lSC.jpg,forged
forged/copy_move_IMG-20240405-WA0019_jpg.rf.sZGqcZOx4MsIIEcMM5Ut_003.jpg,copy_move,"492,310,100,100",IMG-20240405-WA0019_jpg.rf.sZGqcZOx4MsIIEcMM5Ut.jpg,forged
forged/copy_move_3_png.rf.CthnogULRIDHBPRj56NC_004.jpg,copy_move,"290,195,100,100",3_png.rf.CthnogULRIDHBPRj56NC.png,forged
forged/copy_move_3-1-_page-0001_jpg.rf.GdHyTVnXJxvZv2dJOYJw_005.jpg,copy_move,"505,206,100,100",3-1-_page-0001_jpg.rf.GdHyTVnXJxvZv2dJOYJw.jpg,forged
forged/copy_move_27-1-_page-0001_jpg.rf.mCOgmmGW6H9bF9wdzNwN_006.jpg,copy_move,"245,56,100,100",27-1-_page-0001_jpg.rf.mCOgmmGW6H9bF9wdzNwN.jpg,forged
forged/copy_move_17-1-_page-0001_jpg.rf.MBmp4a0U6kjHZWFQ8zaR_007.jpg,copy_move,"326,306,100,100",17-1-_page-0001_jpg.rf.MBmp4a0U6kjHZWFQ8zaR.jpg,forged
forged/copy_move_image_png_jpg.rf.fbDsplVsStojIsCi7S54_008.jpg,copy_move,"250,248,100,100",image_png_jpg.rf.fbDsplVsStojIsCi7S54.jpg,forged
forged/copy_move_13-2-_page-0001_jpg.rf.dJcAkp37r8OVl6Lsbckm_009.jpg,copy_move,"261,399,100,100",13-2-_page-0001_jpg.rf.dJcAkp37r8OVl6Lsbckm.jpg,forged
forged/splicing_image-34-_png_jpg.rf.qEuLXAZZQOXcgio2zGPI_000.jpg,splicing,"485,346,120,120",image-34-_png_jpg.rf.qEuLXAZZQOXcgio2zGPI.jpg,forged
forged/splicing_14-__page-0001_jpg.rf.3oWmP9FqEpWHYhqe7Y2Q_001.jpg,splicing,"341,267,120,120",14-__page-0001_jpg.rf.3oWmP9FqEpWHYhqe7Y2Q.jpg,forged
forged/splicing_0_4_page-0001_jpg.rf.LQi8KCb2wxCEUD3C7lSC_002.jpg,splicing,"509,491,120,120",0_4_page-0001_jpg.rf.LQi8KCb2wxCEUD3C7lSC.jpg,forged
forged/splicing_IMG-20240405-WA0019_jpg.rf.sZGqcZOx4MsIIEcMM5Ut_003.jpg,splicing,"457,510,120,120",IMG-20240405-WA0019_jpg.rf.sZGqcZOx4MsIIEcMM5Ut.jpg,forged
forged/splicing_3_png.rf.CthnogULRIDHBPRj56NC_004.jpg,splicing,"201,173,120,120",3_png.rf.CthnogULRIDHBPRj56NC.png,forged
forged/splicing_3-1-_page-0001_jpg.rf.GdHyTVnXJxvZv2dJOYJw_005.jpg,splicing,"188,277,120,120",3-1-_page-0001_jpg.rf.GdHyTVnXJxvZv2dJOYJw.jpg,forged
forged/splicing_27-1-_page-0001_jpg.rf.mCOgmmGW6H9bF9wdzNwN_006.jpg,splicing,"365,297,120,120",27-1-_page-0001_jpg.rf.mCOgmmGW6H9bF9wdzNwN.jpg,forged
forged/splicing_17-1-_page-0001_jpg.rf.MBmp4a0U6kjHZWFQ8zaR_007.jpg,splicing,"450,321,120,120",17-1-_page-0001_jpg.rf.MBmp4a0U6kjHZWFQ8zaR.jpg,forged
forged/splicing_image_png_jpg.rf.fbDsplVsStojIsCi7S54_008.jpg,splicing,"362,489,120,120",image_png_jpg.rf.fbDsplVsStojIsCi7S54.jpg,forged
forged/splicing_13-2-_page-0001_jpg.rf.dJcAkp37r8OVl6Lsbckm_009.jpg,splicing,"295,231,120,120",13-2-_page-0001_jpg.rf.dJcAkp37r8OVl6Lsbckm.jpg,forged
forged/double_compression_image-34-_png_jpg.rf.qEuLXAZZQOXcgio2zGPI_000.jpg,double_compression,,image-34-_png_jpg.rf.qEuLXAZZQOXcgio2zGPI.jpg,forged
forged/double_compression_14-__page-0001_jpg.rf.3oWmP9FqEpWHYhqe7Y2Q_001.jpg,double_compression,,14-__page-0001_jpg.rf.3oWmP9FqEpWHYhqe7Y2Q.jpg,forged
forged/double_compression_0_4_page-0001_jpg.rf.LQi8KCb2wxCEUD3C7lSC_002.jpg,double_compression,,0_4_page-0001_jpg.rf.LQi8KCb2wxCEUD3C7lSC.jpg,forged
forged/double_compression_IMG-20240405-WA0019_jpg.rf.sZGqcZOx4MsIIEcMM5Ut_003.jpg,double_compression,,IMG-20240405-WA0019_jpg.rf.sZGqcZOx4MsIIEcMM5Ut.jpg,forged
forged/double_compression_3_png.rf.CthnogULRIDHBPRj56NC_004.jpg,double_compression,,3_png.rf.CthnogULRIDHBPRj56NC.png,forged
forged/double_compression_3-1-_page-0001_jpg.rf.GdHyTVnXJxvZv2dJOYJw_005.jpg,double_compression,,3-1-_page-0001_jpg.rf.GdHyTVnXJxvZv2dJOYJw.jpg,forged
forged/double_compression_27-1-_page-0001_jpg.rf.mCOgmmGW6H9bF9wdzNwN_006.jpg,double_compression,,27-1-_page-0001_jpg.rf.mCOgmmGW6H9bF9wdzNwN.jpg,forged
forged/double_compression_17-1-_page-0001_jpg.rf.MBmp4a0U6kjHZWFQ8zaR_007.jpg,double_compression,,17-1-_page-0001_jpg.rf.MBmp4a0U6kjHZWFQ8zaR.jpg,forged
forged/double_compression_image_png_jpg.rf.fbDsplVsStojIsCi7S54_008.jpg,double_compression,,image_png_jpg.rf.fbDsplVsStojIsCi7S54.jpg,forged
forged/double_compression_13-2-_page-0001_jpg.rf.dJcAkp37r8OVl6Lsbckm_009.jpg,double_compression,,13-2-_page-0001_jpg.rf.dJcAkp37r8OVl6Lsbckm.jpg,forged
forged/triple_compression_image-34-_png_jpg.rf.qEuLXAZZQOXcgio2zGPI_000.jpg,triple_compression,,image-34-_png_jpg.rf.qEuLXAZZQOXcgio2zGPI.jpg,forged
forged/triple_compression_14-__page-0001_jpg.rf.3oWmP9FqEpWHYhqe7Y2Q_001.jpg,triple_compression,,14-__page-0001_jpg.rf.3oWmP9FqEpWHYhqe7Y2Q.jpg,forged
